Students	800
1	72 161 187 133
2	136 10 200 99
3	58 132 4 9
4	72 157 59 127
5	34 4 134 152
6	118 194 128 52
7	54 76 93 193
8	26 199 72 138
9	27 197 188 83
10	98 26 92 39
11	162 112 85 123
12	109 62 28 116
13	169 61 157 70
14	75 149 168 14
15	56 79 173 45
16	197 159 5 151
17	71 53 67 135
18	147 40 4 100
19	34 5 28 88
20	28 107 124 130
21	102 98 135 42
22	75 126 103 47
23	2 164 69 67
24	32 175 34 147
25	101 44 39 54
26	6 97 164 105
27	194 176 178 38
28	169 66 42 77
29	104 39 84 177
30	55 58 150 71
31	33 68 101 148
32	95 21 127 17
33	152 75 170 162
34	105 45 148 164
35	9 86 45 166
36	51 95 188 140
37	74 14 56 166
38	32 76 179 160
39	93 72 25 124
40	89 79 53 162
41	177 47 132 48
42	18 145 123 147
43	55 98 150 155
44	142 35 90 68
45	41 185 88 91
46	52 29 19 50
47	107 85 103 70
48	48 4 65 190
49	80 39 182 20
50	168 24 19 151
51	142 173 127 52
52	113 166 172 198
53	137 200 26 28
54	56 181 127 89
55	80 87 50 98
56	66 101 188 180
57	80 156 56 169
58	64 51 133 108
59	169 163 108 56
60	132 181 85 178
61	170 124 119 133
62	6 149 124 8
63	6 193 147 46
64	113 13 4 153
65	84 180 200 62
66	70 51 73 36
67	83 62 186 117
68	175 50 118 60
69	97 27 84 155
70	64 33 99 155
71	112 95 174 116
72	98 28 177 131
73	28 160 108 105
74	111 126 52 9
75	181 119 185 165
76	147 102 16 164
77	73 177 115 2
78	195 7 103 84
79	56 17 31 81
80	68 108 7 134
81	199 47 136 112
82	44 40 95 97
83	164 23 83 117
84	39 200 104 142
85	143 13 56 55
86	6 188 112 14
87	200 159 37 193
88	116 101 53 106
89	157 59 136 43
90	97 52 166 35
91	180 140 197 8
92	104 132 175 119
93	81 185 154 158
94	134 55 200 167
95	156 42 1 83
96	140 68 15 104
97	186 66 173 48
98	7 32 139 25
99	181 198 177 38
100	42 84 155 199
101	61 43 108 163
102	13 62 173 191
103	141 156 16 47
104	37 128 95 48
105	73 120 95 146
106	135 123 163 136
107	156 182 112 106
108	109 107 55 8
109	35 54 140 187
110	83 185 85 138
111	73 33 148 165
112	63 147 112 163
113	121 108 157 60
114	75 200 98 127
115	40 193 177 36
116	62 7 3 74
117	159 70 172 148
118	69 130 64 172
119	1 186 94 48
120	22 3 135 20
121	47 198 88 79
122	141 165 196 44
123	184 76 28 60
124	125 25 3 180
