Class Times	4
Rooms	2600
1	47
2	68
3	99
4	69
5	25
6	57
7	19
8	28
9	42
10	17
11	62
12	61
13	22
14	23
15	64
16	91
17	39
18	22
19	96
20	55
21	57
22	99
23	75
24	76
25	41
26	56
27	64
28	99
29	20
30	84
31	69
32	36
33	66
34	21
35	96
36	72
37	69
38	90
39	78
40	19
41	12
42	91
43	31
44	43
45	69
46	25
47	82
48	76
49	81
50	16
51	18
52	45
53	57
54	67
55	60
56	87
57	85
58	77
59	31
60	58
61	48
62	39
63	37
64	47
65	58
66	50
67	97
68	79
69	18
70	18
71	40
72	66
73	60
74	56
75	88
76	17
77	91
78	32
79	19
80	83
81	22
82	21
83	94
84	77
85	62
86	76
87	28
88	54
89	54
90	81
91	77
92	35
93	50
94	46
95	31
96	70
97	50
98	64
99	28
100	75
101	27
102	18
103	75
104	69
105	70
106	88
107	37
108	56
109	41
110	59
111	22
112	43
113	38
114	34
115	32
116	99
117	66
118	12
119	66
120	47
121	64
122	14
123	19
124	22
125	48
126	33
127	37
128	12
129	41
130	27
131	43
132	88
133	34
134	85
135	77
136	53
137	86
138	36
139	39
140	13
141	21
142	53
143	89
144	23
145	10
146	96
147	24
148	96
149	90
150	59
151	61
152	18
153	62
154	80
155	87
156	28
157	20
158	37
159	25
160	83
161	86
162	63
163	35
164	14
165	37
166	65
167	69
168	56
169	80
170	73
171	13
172	22
173	83
174	67
175	18
176	80
177	16
178	71
179	85
180	52
181	27
182	96
183	14
184	82
185	82
186	34
187	93
188	97
189	58
190	63
191	17
192	66
193	88
194	10
195	28
196	95
197	24
198	36
199	37
200	98
201	41
202	80
203	61
204	46
205	92
206	76
207	12
208	35
209	22
210	62
211	24
212	49
213	68
214	87
215	80
216	93
217	30
218	30
219	89
220	24
221	87
222	50
223	21
224	39
225	67
226	80
227	62
228	25
229	41
230	17
231	47
232	84
233	44
234	74
235	73
236	38
237	56
238	21
239	89
240	88
241	65
242	80
243	17
244	19
245	24
246	98
247	93
248	74
249	10
250	90
251	60
252	76
253	55
254	95
255	54
256	96
257	47
258	82
259	53
260	64
261	91
262	20
263	50
264	63
265	86
266	88
267	96
268	63
269	74
270	44
271	51
272	89
273	77
274	75
275	84
276	71
277	33
278	51
279	76
280	31
281	89
282	54
283	33
284	61
285	45
286	78
287	25
288	74
289	53
290	15
291	44
292	62
293	80
294	61
295	67
296	57
297	11
298	10
299	64
300	39
301	28
302	52
303	63
304	13
305	29
306	37
307	88
308	20
309	78
310	85
311	55
312	95
313	66
314	38
315	23
316	32
317	63
318	77
319	71
320	71
321	96
322	35
323	81
324	39
325	47
326	75
327	59
328	68
329	87
330	55
331	12
332	63
333	62
334	96
335	80
336	83
337	75
338	97
339	79
340	40
341	77
342	35
343	52
344	32
345	26
346	28
347	38
348	61
349	88
350	94
351	37
352	89
353	83
354	80
355	15
356	28
357	83
358	45
359	84
360	16
361	54
362	18
363	25
364	95
365	85
366	81
367	61
368	24
369	21
370	57
371	73
372	63
373	51
374	47
375	97
376	77
377	91
378	66
379	12
380	28
381	81
382	30
383	34
384	90
385	76
386	35
387	21
388	26
389	74
390	39
391	55
392	29
393	91
394	61
395	30
396	41
397	65
398	25
399	31
400	35
401	62
402	19
403	96
404	36
405	43
406	48
407	62
408	62
409	55
410	25
411	70
412	95
413	72
414	55
415	47
416	85
417	22
418	22
419	53
420	24
421	45
422	23
423	56
424	45
425	71
426	99
427	42
428	94
429	65
430	95
431	18
432	87
433	25
434	71
435	99
436	86
437	34
438	83
439	57
440	38
441	18
442	67
443	85
444	31
445	27
446	56
447	91
448	99
449	20
450	37
451	94
452	61
453	53
454	14
455	69
456	25
457	11
458	96
459	89
460	40
461	75
462	21
463	21
464	28
465	67
466	81
467	63
468	22
469	57
470	42
471	10
472	96
473	87
474	56
475	19
476	34
477	61
478	18
479	39
480	67
481	53
482	89
483	76
484	72
485	46
486	19
487	89
488	25
489	75
490	38
491	28
492	77
493	44
494	90
495	38
496	10
497	58
498	83
499	57
500	91
501	34
502	79
503	81
504	65
505	95
506	22
507	98
508	34
509	72
510	21
511	94
512	74
513	77
514	39
515	50
516	43
517	89
518	47
519	96
520	65
521	59
522	92
523	49
524	57
525	64
526	79
527	33
528	88
529	52
530	48
531	33
532	81
533	90
534	55
535	89
536	21
537	93
538	18
539	60
540	49
541	83
542	98
543	27
544	62
545	28
546	30
547	18
548	45
549	16
550	75
551	52
552	37
553	49
554	83
555	71
556	64
557	31
558	34
559	50
560	56
561	85
562	71
563	31
564	39
565	39
566	37
567	37
568	50
569	49
570	48
571	36
572	14
573	91
574	62
575	51
576	59
577	92
578	86
579	30
580	34
581	70
582	11
583	36
584	48
585	25
586	63
587	93
588	48
589	95
590	70
591	85
592	83
593	60
594	28
595	32
596	51
597	79
598	93
599	89
600	10
601	50
602	18
603	51
604	33
605	88
606	92
607	18
608	71
609	92
610	15
611	22
612	72
