Students	70000
1	5851 150 5464 2741
2	258 485 937 3593
3	930 3703 497 5984
4	146 3773 100 2007
5	4886 5863 2235 272
6	1680 5922 4693 4705
7	1780 6634 6801 2322
8	2365 793 5407 4821
9	6125 887 3515 1801
10	893 2862 2805 5168
11	5689 3036 3692 4592
12	2768 1131 256 3846
13	6766 5773 5500 6865
14	3905 6006 3750 3583
15	6294 1568 3640 6071
16	1410 5830 337 5373
17	3069 194 2472 2446
18	3951 884 6407 5960
19	517 6991 3975 6750
20	4008 3149 2901 1686
21	3835 2824 5742 3636
22	883 1940 5977 6390
23	1888 3825 4932 3360
24	6710 6665 6449 6239
25	3111 3936 1804 5411
26	3712 3491 2683 5668
27	635 3117 3152 2131
28	759 3508 1397 5031
29	3149 5669 6606 4463
30	2730 232 6067 5040
31	4458 5656 6365 627
32	5394 740 2392 3675
33	5393 6716 3534 6800
34	4461 3700 1431 4916
35	1620 2740 4769 5714
36	6073 2695 5712 1431
37	1036 897 2485 1545
38	374 3872 742 5226
39	4774 4372 4335 2498
40	5871 5814 1934 5220
41	1401 4863 4164 2149
42	1100 1808 1051 5778
43	6670 2462 5051 798
44	621 1267 806 2369
45	3197 5899 5453 5959
46	3597 3012 4238 6774
47	2642 2414 4834 482
48	5166 5402 6006 1608
49	2409 2559 1495 4843
50	5496 2923 1638 4349
51	5542 6186 6621 5742
52	782 6825 5219 1578
53	4364 4625 4848 6318
54	574 4714 3869 5797
55	1499 6692 872 3131
56	4634 646 717 6855
57	232 597 5845 5388
58	3084 6309 1899 6848
59	6681 6141 2493 1933
60	1849 2180 2381 3268
61	1018 724 3010 3031
62	3405 282 6187 1140
63	1943 2680 5919 6195
64	536 4155 4832 2006
65	4784 6280 3179 1039
66	4211 4071 4426 2779
67	25 3428 3849 6491
68	2859 4218 132 4778
69	5669 2577 4670 2669
70	1150 6659 2231 1613
71	4698 4779 6888 4248
72	1991 276 2209 3058
73	949 4955 6638 1283
74	4724 6652 4796 3619
75	1004 1566 3087 6199
76	4541 6970 4962 138
77	3190 6707 5490 3947
78	5850 3408 2362 2524
79	5510 4436 1128 5297
80	2799 1326 714 4547
81	3256 1687 3964 5679
82	6310 656 3020 3563
83	4209 4564 1648 1162
84	4886 1373 5461 1054
85	6710 4082 4261 6795
86	6055 6753 4193 5000
87	6480 1529 1955 2874
88	1638 271 4087 5302
89	1870 3563 337 6552
90	2080 3503 5825 5802
91	4259 1994 1122 707
92	2841 5241 3488 1811
93	6569 5810 242 6046
94	6338 4214 2106 4604
95	5324 3510 2211 105
96	4122 5350 5283 872
97	6379 2138 6107 6043
98	895 1397 2281 5850
99	3340 579 3129 2999
100	6618 1922 5551 3594
101	4829 704 168 1225
102	2313 5293 6859 1745
103	1076 2812 4345 5261
104	3241 6150 4770 2112
105	1905 1518 934 2014
106	2945 5125 268 5412
107	1936 795 483 3898
108	1134 1166 5903 3721
109	5843 2255 3390 4949
110	6645 1758 1785 2377
111	5716 6019 1524 2289
112	4668 638 1298 6445
113	3010 4577 3825 2309
114	68 3182 1276 4290
115	4234 5979 5122 3545
116	4058 1683 6856 2305
117	1384 6472 3688 4421
118	3559 1981 75 5494
119	2236 6295 4271 4825
120	2436 2625 630 2293
121	5920 2811 575 870
122	4319 4712 1050 1845
123	6726 4458 4328 170
124	3992 5910 2807 1824
125	2832 4125 4221 5541
126	3337 2861 3660 1919
127	6639 573 4132 1185
128	6487 5200 3739 3165
