Students	1600
1	242 341 213 370
2	117 371 35 251
3	399 209 330 392
4	205 198 228 11
5	14 15 167 92
6	345 171 125 319
7	311 179 27 229
8	260 392 110 399
9	290 33 159 344
10	194 146 16 230
11	2 261 18 394
12	289 314 200 344
13	42 369 26 106
14	257 178 145 377
15	365 301 240 216
16	126 181 230 56
17	375 234 351 308
18	156 46 49 383
19	131 182 219 78
20	176 246 212 161
21	277 31 84 40
22	75 307 159 125
23	333 189 295 392
24	245 29 35 158
25	56 83 275 221
26	378 22 193 2
27	345 147 244 113
28	210 200 109 114
29	163 349 237 131
30	339 378 374 84
31	226 10 278 257
32	171 228 335 88
33	360 269 124 287
34	265 153 191 243
35	191 266 224 339
36	257 176 361 221
37	340 362 17 56
38	242 279 320 277
39	169 251 66 178
40	338 370 205 180
41	165 93 116 3
42	56 235 356 44
43	138 266 15 400
44	322 399 300 210
45	252 344 187 125
46	68 115 182 150
47	79 38 367 37
48	17 147 103 2
49	158 132 22 63
50	142 185 205 20
51	76 185 377 33
52	374 48 350 223
53	117 115 15 232
54	24 289 279 345
55	268 82 281 271
56	162 60 92 276
57	69 297 347 241
58	100 244 99 360
59	187 21 136 345
60	392 282 286 283
61	244 220 356 294
62	30 363 211 206
63	91 277 257 119
64	79 214 34 106
65	147 290 196 49
66	34 96 123 281
67	322 341 90 2
68	174 276 22 72
69	314 396 335 170
70	96 389 132 130
71	378 257 367 389
72	169 239 205 186
73	153 386 200 249
74	25 293 364 300
75	287 119 276 228
76	374 168 115 304
77	103 311 140 131
78	225 43 267 288
79	130 262 299 370
80	182 311 257 270
81	34 32 212 133
82	341 112 245 227
83	123 2 236 270
84	293 133 347 282
85	314 279 161 181
86	210 287 70 29
87	107 67 72 275
88	239 355 261 273
89	77 159 306 350
90	86 59 363 229
91	244 359 218 276
92	170 361 69 397
93	108 214 297 238
94	382 172 383 55
95	376 2 166 379
96	38 256 394 279
97	219 51 272 83
98	33 218 363 42
99	312 299 146 158
100	141 92 126 360
101	211 44 146 284
102	214 398 365 19
103	243 91 263 53
104	68 285 56 331
105	160 259 115 199
106	158 53 383 357
107	348 39 203 192
108	258 334 166 24
109	160 363 140 295
110	120 17 169 11
111	198 371 336 114
112	42 208 276 17
113	339 219 398 109
114	55 197 12 8
115	318 56 238 141
116	98 210 80 214
117	198 316 359 385
118	272 222 375 262
119	166 167 268 386
120	257 328 42 225
121	353 195 149 101
122	387 95 288 191
123	216 131 361 53
124	50 380 68 195
125	189 285 394 216
126	373 35 39 217
127	283 311 106 132
128	56 199 120 374
129	218 208 58 115
130	56 59 180 139
131	339 41 248 290
132	233 51 254 295
133	37 368 291 375
134	246 288 197 27
135	156 383 298 63
136	297 315 78 52
137	74 95 374 26
138	55 308 271 249
139	237 114 179 145
140	117 24 95 326
141	235 147 395 150
142	194 394 55 77
143	166 3 398 81
144	204 305 331 275
145	222 242 144 164
146	185 312 117 69
147	233 113 71 359
148	55 95 115 119
149	43 34 241 49
150	315 314 160 289
151	269 155 280 212
152	231 392 206 150
153	94 393 8 272
154	23 238 272 154
155	144 251 312 119
156	130 210 148 377
157	304 399 288 49
