Students	2000
1	114 455 129 467
2	43 92 136 514
3	364 361 589 9
4	409 168 146 199
5	458 112 437 430
6	169 545 145 107
7	517 125 259 267
8	194 176 566 99
9	71 560 57 578
10	443 222 326 79
11	411 587 460 177
12	239 321 379 215
13	337 544 214 485
14	530 215 93 83
15	421 552 567 517
16	559 342 64 220
17	146 17 190 247
18	106 464 288 264
19	571 226 197 156
20	32 111 597 142
21	290 86 47 321
22	527 244 142 254
23	52 154 583 227
24	67 373 102 564
25	408 260 314 442
26	484 512 227 599
27	9 310 74 378
28	28 568 48 373
29	520 518 44 154
30	573 387 379 187
31	413 324 541 493
32	315 475 139 88
33	133 288 198 9
34	40 569 338 169
35	573 195 205 420
36	333 545 217 338
37	30 328 236 245
38	326 258 179 430
39	392 402 164 597
40	351 174 39 227
41	48 506 587 520
42	176 70 187 15
43	214 429 448 18
44	187 489 536 456
45	61 390 378 206
46	227 222 545 450
47	284 330 568 123
48	422 381 124 26
49	146 113 387 111
50	349 194 189 276
51	362 459 486 558
52	573 475 167 110
53	274 349 308 50
54	154 210 296 441
55	204 76 491 226
56	467 262 16 599
57	352 575 19 43
58	273 73 151 566
59	460 382 128 275
60	5 156 313 569
61	403 564 292 304
62	385 190 131 327
63	343 359 211 353
64	260 58 160 57
65	106 95 115 136
66	384 45 409 502
67	393 124 449 94
68	467 250 600 428
69	390 554 189 405
70	341 296 260 233
71	55 79 361 37
72	53 472 556 27
73	348 274 534 323
74	232 142 324 32
75	191 244 177 497
76	370 282 13 315
77	76 579 429 538
78	145 507 447 63
79	514 462 186 501
80	125 553 390 46
81	343 36 99 128
82	24 480 143 33
83	168 222 70 237
84	432 429 107 596
85	348 217 369 299
86	518 295 339 189
87	341 176 515 401
88	81 388 256 139
89	305 222 242 176
90	34 289 393 83
91	164 365 534 398
92	241 32 58 100
93	205 557 317 174
94	58 413 148 299
95	93 535 302 469
96	104 370 337 56
97	1 521 321 452
98	355 253 118 513
99	108 272 233 411
100	575 88 381 24
101	55 395 157 42
102	598 232 265 583
103	52 412 388 262
104	223 91 131 412
105	212 97 236 29
106	544 32 353 117
107	514 176 273 107
108	293 108 555 265
109	214 477 23 506
110	8 31 261 544
111	500 182 381 497
112	297 139 53 594
113	144 431 433 365
114	52 281 523 23
115	200 69 460 317
116	85 443 462 495
117	303 505 323 140
118	337 122 573 510
119	566 4 361 501
120	409 529 383 372
121	96 463 215 483
122	353 463 87 231
123	543 502 527 535
124	189 179 526 267
125	457 595 199 369
126	390 122 571 166
127	150 522 505 46
128	183 238 275 87
129	70 539 41 522
130	49 554 308 507
131	350 575 25 513
132	177 503 271 265
133	423 290 146 265
134	54 465 507 389
135	423 308 129 494
136	306 567 131 326
137	45 468 323 161
138	80 339 459 544
139	263 598 199 119
140	497 26 378 187
141	472 229 64 175
142	450 463 454 303
143	215 523 61 133
144	573 16 423 188
145	393 379 20 14
146	110 205 163 278
147	193 137 324 89
148	388 155 161 208
149	176 266 66 241
150	401 125 44 565
151	322 223 219 145
152	182 286 436 361
153	489 132 309 216
154	123 364 73 273
155	143 217 117 557
156	221 317 5 381
157	294 325 102 366
158	182 468 528 356
159	78 540 411 316
160	169 358 430 288
161	70 379 133 354
162	128 238 462 250
163	452 218 177 418
164	585 572 219 198
165	586 276 136 124
166	215 163 545 133
167	141 75 111 506
168	219 585 555 88
169	130 188 551 328
170	183 526 554 594
171	179 142 452 100
172	570 117 212 45
173	584 254 235 491
174	37 481 452 585
175	232 74 1 355
176	463 485 228 278
177	488 69 506 533
178	348 416 197 239
179	79 506 291 20
180	164 139 75 300
181	196 84 124 579
182	393 245 188 216
183	357 442 475 446
184	485 365 201 463
185	568 92 186 204
186	331 243 213 253
187	1 321 508 415
188	497 232 178 161
189	208 315 253 136
190	44 361 291 289
191	562 135 279 130
192	10 206 438 373
193	585 552 169 47
194	539 136 381 531
195	110 161 576 247
196	539 417 114 367
197	344 203 597 586
198	230 241 236 545
199	412 574 440 579
200	403 95 490 143
201	450 342 242 556
202	118 287 294 18
203	200 599 76 267
204	183 68 271 522
205	575 137 468 106
206	265 208 376 402
207	303 380 3 138
208	93 126 255 162
209	265 509 592 529
210	90 163 371 160
211	380 514 490 344
212	380 56 352 327
213	591 411 259 446
214	185 579 2 536
215	104 331 65 307
216	410 52 216 160
217	339 120 276 265
218	478 548 331 479
219	448 373 364 54
220	593 521 210 125
221	243 14 588 533
222	140 210 325 228
223	241 201 431 541
224	202 275 254 399
225	308 458 160 128
226	315 231 379 37
227	580 321 188 277
228	486 88 459 430
229	343 511 342 187
230	301 483 491 37
231	56 201 1 506
232	352 475 43 112
233	30 127 383 121
234	237 167 280 446
235	598 264 178 416
236	507 38 356 16
237	322 586 387 336
238	230 83 397 474
239	74 197 479 452
240	453 295 260 6
241	11 186 149 281
242	331 131 572 53
243	344 407 184 350
244	358 87 19 541
245	248 565 247 491
246	79 351 541 425
247	589 96 329 158
248	526 451 75 105
249	187 16 479 476
250	29 335 506 407
251	548 502 307 45
252	358 181 438 357
253	56 130 512 47
254	588 430 314 319
255	50 402 370 269
256	7 267 543 165
257	543 12 553 404
258	294 493 308 495
259	592 507 107 412
260	331 129 219 9
261	88 508 592 283
262	571 484 343 45
263	443 552 538 142
264	453 542 117 12
265	252 198 543 586
266	160 172 216 501
267	116 30 198 320
268	207 73 133 193
269	96 480 116 505
270	395 144 104 514
271	400 439 367 407
272	510 204 500 293
